IMAGE_ID,MASK_ID
10066/20130101_084634.jpg,Masks/10066.png
10066/20130101_091628.jpg,Masks/10066.png
10066/20130101_114638.jpg,Masks/10066.png
10066/20130101_125725.jpg,Masks/10066.png
10066/20130101_154632.jpg,Masks/10066.png
10066/20130102_092726.jpg,Masks/10066.png
10066/20130102_121637.jpg,Masks/10066.png
10066/20130102_122724.jpg,Masks/10066.png
10066/20130102_124633.jpg,Masks/10066.png
10066/20130102_132725.jpg,Masks/10066.png
10066/20130103_114630.jpg,Masks/10066.png
10066/20130103_131639.jpg,Masks/10066.png
10066/20130103_144631.jpg,Masks/10066.png
10066/20130103_145734.jpg,Masks/10066.png
10066/20130103_151641.jpg,Masks/10066.png
10066/20130104_061642.jpg,Masks/10066.png
10066/20130104_075729.jpg,Masks/10066.png
10066/20130104_111637.jpg,Masks/10066.png
10066/20130104_144635.jpg,Masks/10066.png
10066/20130104_152728.jpg,Masks/10066.png
10066/20130105_081628.jpg,Masks/10066.png
10066/20130105_092727.jpg,Masks/10066.png
10066/20130105_112733.jpg,Masks/10066.png
10066/20130105_122724.jpg,Masks/10066.png
10066/20130105_142724.jpg,Masks/10066.png
10066/20130106_071638.jpg,Masks/10066.png
10066/20130106_085727.jpg,Masks/10066.png
10066/20130106_105723.jpg,Masks/10066.png
10066/20130106_134635.jpg,Masks/10066.png
10066/20130106_135724.jpg,Masks/10066.png
10066/20130107_082723.jpg,Masks/10066.png
10066/20130107_095724.jpg,Masks/10066.png
10066/20130107_101639.jpg,Masks/10066.png
10066/20130107_122728.jpg,Masks/10066.png
10066/20130107_141629.jpg,Masks/10066.png
10066/20130108_114635.jpg,Masks/10066.png
10066/20130108_115731.jpg,Masks/10066.png
10066/20130108_141633.jpg,Masks/10066.png
10066/20130108_145731.jpg,Masks/10066.png
10066/20130108_152726.jpg,Masks/10066.png
10066/20130109_064638.jpg,Masks/10066.png
10066/20130109_081633.jpg,Masks/10066.png
10066/20130109_115734.jpg,Masks/10066.png
10066/20130109_122726.jpg,Masks/10066.png
10066/20130109_125727.jpg,Masks/10066.png
10066/20130110_081633.jpg,Masks/10066.png
10066/20130110_084639.jpg,Masks/10066.png
10066/20130110_111634.jpg,Masks/10066.png
10066/20130110_124634.jpg,Masks/10066.png
10066/20130110_131630.jpg,Masks/10066.png
10066/20130111_065742.jpg,Masks/10066.png
10066/20130111_081636.jpg,Masks/10066.png
10066/20130111_115726.jpg,Masks/10066.png
10066/20130111_134632.jpg,Masks/10066.png
10066/20130111_151634.jpg,Masks/10066.png
10066/20130112_085734.jpg,Masks/10066.png
10066/20130112_091630.jpg,Masks/10066.png
10066/20130112_112740.jpg,Masks/10066.png
10066/20130112_134634.jpg,Masks/10066.png
10066/20130112_145729.jpg,Masks/10066.png
10066/20130113_062730.jpg,Masks/10066.png
10066/20130113_124634.jpg,Masks/10066.png
10066/20130113_132732.jpg,Masks/10066.png
10066/20130113_134629.jpg,Masks/10066.png
10066/20130113_154632.jpg,Masks/10066.png
10066/20130114_074630.jpg,Masks/10066.png
10066/20130114_094639.jpg,Masks/10066.png
10066/20130114_095726.jpg,Masks/10066.png
10066/20130114_132728.jpg,Masks/10066.png
10066/20130114_161636.jpg,Masks/10066.png
10066/20130115_064632.jpg,Masks/10066.png
10066/20130115_074629.jpg,Masks/10066.png
10066/20130115_114637.jpg,Masks/10066.png
10066/20130115_115725.jpg,Masks/10066.png
10066/20130115_125723.jpg,Masks/10066.png
10066/20130116_075727.jpg,Masks/10066.png
10066/20130116_084630.jpg,Masks/10066.png
10066/20130116_094634.jpg,Masks/10066.png
10066/20130116_095723.jpg,Masks/10066.png
10066/20130116_122722.jpg,Masks/10066.png
10066/20130117_082724.jpg,Masks/10066.png
